ID,FH,CL,CH,CD,FLA,FLL,FLW,GL,GWE,GWI,PS,PE,PL,SN,ANL,AWL,AWC,SC,SE,BLSC
F191,83,84,55,0.57,78,20,0.9,8.46,0.59,2.45,23,7.7,20.3,41,0.3,3.3,1,0,1,0
F192,83,66,65,0.53,63,21.2,1,8.61,0.57,2.54,18,1.7,20,48,0.24,4.8,1,1,1,0
F193,65,62,60,0.47,47,18.7,0.7,8.92,0.57,2.41,0,0,13.3,29,0.3,0.2,1,0,1,0
F194,104,75,50,0.47,75,15.7,0.9,9,0.6,2.12,18,7,19.7,31,0.31,5.3,1,1,1,0
F195,81,73,40,0.6,57,26.2,1.1,9.14,0.61,2.38,30,6.5,24,59,0.28,5.3,1,1,1,0
F196,65,79,45,0.47,83,19.7,1,9.47,0.67,2.56,0,3.3,21.3,37,0.31,5.2,1,1,1,0
F197,66,73,50,0.43,50,20.8,0.9,8.9,0.62,2.73,0,5.3,20.2,47,0.25,5,1,1,1,0
F198,109,100,30,0.47,53,29.2,0.9,9.24,0.56,2.28,0,7,21.8,30,0.35,3.2,1,1,1,1
F199,64,66,45,0.5,38,19,1.2,9.09,0.6,2.56,22,3.3,16.7,32,0.3,5.2,1,1,1,1
F200,66,77,30,0.53,65,18.3,0.9,8.69,0.6,2.34,0,7.3,18.8,27,0.31,4.7,1,1,1,0
F201,70,73,40,0.5,62,18.3,0,9.2,0.63,2.35,20,2.3,17.7,29,0.28,5.2,1,0,1,0
F202,67,71,55,0.5,78,20.7,0.8,9.08,0.6,2.42,0,1.8,18.3,29,0.3,6.2,0,1,1,1
F203,66,89,45,0.53,57,24.7,1.1,10.28,0.72,2.67,0,0,22.3,29,0.31,5.2,1,1,1,0
F204,74,89,50,0.53,57,28.5,0.9,8.72,0.63,2.74,27,4,17.8,32,0.25,6,1,1,1,1
F205,64,85,55,0.57,67,29.3,1,9.36,0.68,2.56,23,3.2,19.8,33,0.31,3.5,1,1,1,1
F206,72,79,30,0.5,50,22.7,1.2,8.85,0.6,2.44,0,4,19.7,40,0.3,4.8,1,1,1,0
F207,64,92,40,0.5,63,23.8,1,8.88,0.58,2.21,0,7.2,21,37,0.3,5.7,1,1,1,0
F208,67,92,50,0.53,82,21,1,9.2,0.7,2.59,0,7.7,18.7,29,0.29,0.5,1,0,1,1
F209,83,65,40,0.43,27,12.8,0.7,9.52,0.51,2.18,0,4.7,17.7,32,0.31,5.7,0,1,1,0
F210,69,83,80,0.5,82,23.2,1,8.68,0.58,2.39,0,3,23.3,40,0.31,5.3,1,0,1,0
F211,64,63,40,0.5,75,17.3,0.9,8.79,0.58,2.35,0,2.7,15.7,43,0.29,4,0,1,1,0
F212,63,62,40,0.53,57,16.5,0.9,8.8,0.54,2.19,0,6.7,16,31,0.3,2.5,1,1,1,1
F213,61,82,55,0.5,75,18.5,0.8,8.95,0.69,2.67,0,4.3,21.5,42,0.32,4.8,1,1,1,1
F214,63,84,40,0.5,68,20.7,1,9.13,0.64,2.56,37,6.7,17.5,37,0.31,4.8,1,1,1,0
F215,63,71,50,0.47,80,18.7,0.8,8.94,0.62,2.4,37,5.5,19.2,52,0.29,4.7,1,0,1,0
F216,87,76,35,0.47,78,20,0.9,8.15,0.48,2.36,0,4.7,19,29,0.3,4.7,1,1,1,0
F217,80,90,40,0.53,60,21.3,0.8,10.01,0.63,2.63,7,6.3,19.3,21,0.31,4,1,1,1,0
F218,107,79,50,0.43,65,23.8,1,9.52,0.53,2.41,22,6,18.8,55,0.3,4.5,1,0,0,0
F219,79,65,45,0.5,40,20.2,1,9.49,0.57,2.6,40,3.5,21.2,48,0.34,4.7,1,1,1,1
F220,73,93,40,0.5,50,25.5,1.1,8.85,0.65,2.59,32,6,25.5,72,0.28,5,1,1,1,0
F221,63,88,55,0.5,65,21.8,0.9,9.17,0.63,2.41,20,4.3,21.3,46,0.3,5.7,1,1,1,0
F222,65,75,60,0.5,43,18.5,1,8.92,0.61,2.46,32,6.5,18.7,44,0.3,5.3,1,1,1,1
F223,76,77,50,0.53,58,30.7,1.1,8.72,0.62,2.58,32,5.8,22.5,49,0.34,5.7,0,1,1,0
F224,81,70,45,0.53,33,22.2,0.7,8.74,0.46,2.39,17,3.5,22.8,58,0.28,5.5,1,1,1,1
F225,63,71,35,0.5,63,18.5,0.8,9.35,0.64,2.26,0,3.3,19.5,39,0.34,4.5,0,1,1,1
